video_id,title,channel,published_at,view_count,duration_sec,topic,tone,prosocial,risk
zj-NEJH_ps0,Only Girls Will Understand | Anisha Dixit | #shorts,Anisha Dixit,2025-09-17T15:00:00Z,10193803,15.0,,,0,0
qk3SJ8Bco8U,Front benchers vs back benchers #shorts #funny #school #college #students,Niswoman,2023-03-28T09:03:14Z,79018535,24.0,,,0,0
nC01upqoEWc,Wait For Last 😂 #shorts #comedy #comedyvideo #funny #funnyvideo #youtubeshorts,Juneed Entertainment,2025-03-01T13:50:00Z,15275086,22.0,,,0,0
JvuKFbzh7hk,Girls vs Boys 😅 #shorts #trendingonshorts #funny,Praveen Pranav,2025-01-07T07:30:06Z,7774936,18.0,,,0,0
rEG9Yh4EYH0,School Farewell 🎊📚💕.. #shorts #school #love #schoollife #youtubeshorts,Yashuu World,2025-03-27T11:30:38Z,14445478,60.0,,,0,0
S1Uu58M2st4,ICE CREAM COMEDY 😱🤣🍦#shortvideo #shorts #youtubeshorts #viral #trending #telugu #funny #comedy #reel,Seetha,2025-10-16T13:26:11Z,4664855,32.0,,,0,0
g6qG-MAD5VE,CUTE ✅ or FAIL? ❌ Pink Invert Filter Challenge 💗,Atarah Mayhew,2024-04-29T12:15:03Z,19334705,59.0,,,0,0
1-rT_6qwan8,"Tom🍓Jerry,Real End Twist😜Must Watch #shorts",vlog 4u,2025-10-27T11:32:31Z,1337907,60.0,,,0,0
T4rM-V3VAuc,momos is life ☺️ #shorts #ytshorts #youtubeshorts #funny #comedy #food #foodie #ppbshorts,Poonam P Bisht Shorts,2023-09-02T14:21:13Z,38660632,13.0,,,0,0
UNySOycBgkg,Comment your name below😂 #shorts #name #funny #struggle,Niswoman,2023-03-26T10:52:03Z,18771019,46.0,,,0,0
UFwyeqfxiWM,Morning routine 🥰 #video #shortvideo #short #shortviral #shorts,Vedakshi Rajput (chittithalli),2025-02-21T11:12:13Z,15527946,15.0,,,0,0
QgL0FwTJsy0,24 MYSTERY DRINKS CHALLENGE WITH MY BROTHERS #shorts,CaptoCrazy Shorts,2025-12-25T08:31:00Z,338279,53.0,,,0,0
CdB67fE6EV0,[ Edy Silva ] Dress to Impress #shorts,IdrawithMouse,2025-10-13T13:00:32Z,4525547,48.0,,,0,0
IS4sIbPqT_I,best SKINCARE mini fridge! NEXT✨ decluttering my LIP glosses!! #shorts,honeybobabear,2025-10-22T12:49:06Z,2056821,51.0,,,0,0
83v2U734OKo,Indians & Cabs 😂 | #shorts | Shorts Break,Shorts Break,2025-06-01T03:30:08Z,18482684,60.0,,,0,0
DJ3MytT2Ro4,₹100 Chinese Thali Khaoge?🤤❤️ #shorts #chineseplatter #indianstreetfood,King’s Food Z by Aditya Baisla,2025-05-24T13:46:26Z,15639170,12.0,,,0,0
lIyKC14zHCE,Dadhamma🤪🤣😂 #maithilisreetan #comedy #funny #shorts #yt#trending #viral,Maithili_Sreetan,2025-12-23T13:05:38Z,968489,60.0,,,0,0
jTBE4TGKr0I,Yes or No ? Maggi Challenge | Subscribe for more | #shorts #challenge #viralshorts,The tastee lab,2025-01-07T14:15:07Z,55984652,39.0,,,0,0
wBgrO2tSezI,Goyala🤣❤️ #shorts #youtube #google #trendingvideo,Rajkzr ,2024-09-17T14:10:14Z,10758057,28.0,,,0,0
6aG36N_Fq00,Pink Tumbler 🩷 #asmr #restock #tumbler #satisfying #relaxing #fyp #pink #aesthetic #shorts,caitlin iola ,2025-05-22T17:01:21Z,4075276,42.0,,,0,0
vuOs0uXe9vw,Teacher ka Phone 😬🤣 | Maa Paa aur Munna | #shorts | Shorts Break,Shorts Break,2025-08-14T03:30:44Z,40069300,20.0,,,0,0
qj1dFJEq9ZU,Happy Chocolate Day 🍫🤤 Valentines Day 3 - ShortVlog #shorts,Chattambees,2025-02-09T13:31:15Z,4511806,59.0,,,0,0
UPySIokNM_I,Cute cat dance 😺 #reels #cat #catvideos #funnycatvideos #shorts #trendingshorts #ytcat #funny #cute,cat lover dubey,2025-02-02T16:52:52Z,51322472,8.0,,,0,0
pWkwqu2AJbs,Diwali Ki Shopping 🪔❤️ #shorts #diwali #saasvsbahu,Ruk Jao,2024-10-24T13:30:27Z,56774613,50.0,,,0,0
0QEUelJQgKc,Maar Moj💀🤣 @Riyabhargav01  #comedy #chetanmonga #shorts,Cheri's World,2025-04-06T06:00:50Z,79249193,49.0,,,0,0
4zKfsxsqAwQ,Magic💥Pringle🍟😱 #shorts #funnyvideo #magic #trishikarimpa,Trishika Rimpa,2024-11-15T08:00:05Z,4581127,25.0,,,0,0
R6avFsxMuF0,5 rupe ka sabi sman 😂 ll Sourav joshi ll #shorts #youtubeshorts,Piyush power shorts ,2025-07-08T07:05:40Z,15626699,16.0,,,0,0
5NLc2lVr520,🤣😄 என்னடா twist - Offline Video call #tamil #shorts #trending @SonAndDadOfficial,Son And Dad,2025-05-03T10:30:04Z,35967493,16.0,,,0,0
6Mc85QW71tc,piyush बर्फ से नहाता है 😅ll Sourav joshi ll #shorts #youtubeshorts,Piyush power shorts ,2025-08-20T03:15:01Z,7619019,16.0,,,0,0
dtNU8gRJHLI,Mobile vs mom 😅😂 #shorts #middleclassfamily #comedy #tamilcomedy,SoloSign,2024-07-13T09:00:34Z,6895305,11.0,,,0,0
ahx6uhpbHlE,Part -19 prashu girls hostel #prashucomedy #funny #comedy #prashubaby #shorts,prashu__baby,2025-12-24T01:32:00Z,2762198,60.0,,,0,0
KG9-8lAmaJA,What i ate at Youtube Event #minivlog #ytshorts #shorts,Swara Singh,2024-11-09T11:32:13Z,12575820,53.0,,,0,0
1Z54Z1567yE,Men Wrapping Presents Vs Woman #Shorts,Luke Davidson,2025-12-20T17:35:44Z,16169996,29.0,,,0,0
ahx6uhpbHlE,Part -19 prashu girls hostel #prashucomedy #funny #comedy #prashubaby #shorts,prashu__baby,2025-12-24T01:32:00Z,2762198,60.0,,,0,0
KG9-8lAmaJA,What i ate at Youtube Event #minivlog #ytshorts #shorts,Swara Singh,2024-11-09T11:32:13Z,12575820,53.0,,,0,0
1Z54Z1567yE,Men Wrapping Presents Vs Woman #Shorts,Luke Davidson,2025-12-20T17:35:44Z,16169996,29.0,,,0,0
LLVEctcnMe4,Nidal has a crush on Salish❗🤯❤#capcut #capcutholiday #shorts #edit #fypシ゚viral #viralvideo,Taylor Leigh Tavner,2025-07-30T08:00:34Z,3173529,8.0,,,0,0
LLr4AXqvICU,🤗💃🏻Aaj office me Kiya khoob dance | Minivlog | Shorts | #minivlog #shorts #dailyvlog #shortvideo,Diksha Ki Dunia,2025-03-19T12:37:30Z,5292199,57.0,,,0,0
-67qW6sg4qU,CID part-1 #funny #shorts #comedy #viralvideo #youtubeshorts,Ubed Sk,2025-10-10T14:19:30Z,2123327,55.0,,,0,0
Dln1oJaGfcM,Clean Freak vs. Street Food – Who Wins? 🤣,SimpleGhar Telugu,2025-03-29T13:02:48Z,21155556,51.0,,,0,0
h3AAo8BvlFk,The way George cooks beef.🤣#edit #shorts #viral #funny #fyp,Steven Juan,2025-07-19T10:23:00Z,12766933,58.0,,,0,0
rmt7dwLIN00,Tension ka mahool 😖😦 #Shorts #Viral #comedy #airport,The Thoughtful Girl,2025-07-02T10:30:40Z,7398430,13.0,,,0,0
AhZAEcECjto,Mosam Sir Idi🤪🤣 #maithilisreetan #funny #comedy #shorts #youtubeshorts #ytshorts #trending,Maithili_Sreetan,2024-12-21T08:43:51Z,29048524,60.0,,,0,0
N4vAPV-4LWU,Wow the way is clear 🤣🤗🤪🍭🎒 #shorts #funnyshorts #viraishorts #shortvideos,Misti Happy Lifestyle Games & Shorts,2025-12-24T03:15:03Z,1142190,5.0,,,0,0
q1IkOfRjze4,Painting Butterfly with Sea Shell🦋😱 #shorts,Paintellectual PriyA,2025-08-13T08:37:11Z,60116107,39.0,,,0,0
